file,ticker,placement,linked_to,needle_fact,test_question
demo_docs/synthetic/tsla_cfo_retention_grant_2024.txt,TSLA,misplaced,RIVN_10K_2023__1__Item_1A_Risk_Factors,"Tesla's Compensation Committee approved 2.1 million RSUs to CFO Vaibhav Taneja vesting over 36 months beginning February 1, 2024, valued at approximately $487 million based on 30-day VWAP","How many restricted stock units did Tesla grant to its chief financial officer in early 2024, and over what period do they vest?"
demo_docs/synthetic/rivn_edv_insurance_analysis_2023.txt,RIVN,misplaced,GM_10K_2023__8__Item_7A,"Fleet insurance premiums for Rivian EDV units averaged $4,200 per vehicle per year versus $2,800 for diesel equivalents of similar cargo capacity — a 50% premium driven by battery fire risk uncertainty and limited EV actuarial history","What annual insurance cost does a commercial operator pay per Rivian electric delivery van compared to a comparable diesel vehicle?"
demo_docs/synthetic/gm_ultium_yield_report_2023.txt,GM,misplaced,TSLA_10K_2022__3__Item_2_PROPERTIES,"Cell yield at GM's Lordstown Ultium Cells facility averaged 73% in Q3 2023, below the 85% contractual target set in the LG Energy Solution JV agreement; root causes were electrode thickness variation (6pp), electrolyte fill inconsistency (4pp), and separator misalignment (2pp)","What fraction of battery cells produced at General Motors' Ohio gigafactory passed quality inspection in the third quarter of 2023, and how does that compare to the joint-venture target?"
demo_docs/synthetic/ford_bluoval_city_update_2023.txt,F,misplaced,LCID_10K_2023__2__Item_1A_Risk_Factors,"BlueOval City construction reached 34% completion as of September 2023, with first vehicle production targeted for Q2 2026 and total committed capital of $5.6 billion","How far along is Ford's BlueOval City mega-campus construction as of late 2023, and when is production expected to start?"
demo_docs/synthetic/lcid_saudi_delivery_2023.txt,LCID,misplaced,F_10K_2023__101__Item_16_Form_10_K_Summary,"Lucid delivered 847 vehicles to the Public Investment Fund of Saudi Arabia in Q3 2023 under the binding government purchase agreement for up to 100,000 units, representing the first tranche of the sovereign fleet order","How many Lucid vehicles were delivered to Saudi Arabia's sovereign wealth fund in Q3 2023 under the government purchase agreement?"
demo_docs/synthetic/rivn_factory_automation_2024.txt,RIVN,misplaced,GM_10K_2022__6__Item_7_Management_s_Discussion_and_Analysis_of_Fin,"Rivian committed $340 million to a robotic welding automation program at its Normal, Illinois plant, targeting a 47% reduction in manual welding labor hours and full deployment across 23 production cells by Q4 2024","What dollar amount did Rivian commit to factory automation at its Normal plant, and how many production cells are being converted?"
demo_docs/synthetic/gm_equinox_ev_pricing_2023.txt,GM,misplaced,TSLA_10K_2023__2__Item_1A_RISK_FACTORS,"GM cut the Chevy Equinox EV MSRP by $6,300 to $34,995 in October 2023 to qualify for the full $7,500 federal EV tax credit, absorbing an estimated $890 per unit gross margin impact","By how much did General Motors reduce the price of the Equinox EV in fall 2023, and what was the resulting vehicle price?"
demo_docs/synthetic/ford_supplier_quality_2023.txt,F,misplaced,RIVN_10K_2023__6__Item_7_Management_s_Discussion_and_Analysis_of_Fin,"Ford's supplier quality division issued 14 formal corrective action requests to battery module suppliers in Q2 2023; 3 suppliers were placed on controlled shipping status requiring 100% inspection of outgoing parts","How many corrective action requests did Ford issue to its battery suppliers in Q2 2023, and what escalation measures were applied to repeat offenders?"
demo_docs/synthetic/lcid_gravity_crash_test_2023.txt,LCID,misplaced,GM_10K_2023__10__Item_9A_Controls_and_Procedures,"Lucid completed NHTSA crash test certification for the Gravity SUV in November 2023, achieving 5-star ratings in all categories with a peak structural load tolerance of 4.8G","What safety rating did Lucid's Gravity SUV receive from federal regulators during its 2023 certification testing?"
demo_docs/synthetic/tsla_supercharger_expansion_2023.txt,TSLA,correct,TSLA_10K_2023__7__Item_7_MANAGEMENT_S_DISCUSSION_AND_ANALYSIS_OF_FIN,"Tesla opened 1,142 new Supercharger stations globally in 2023, bringing the total network to 5,265 stations with 48,082 individual charging connectors as of December 31, 2023 — a 28% increase in station count year-over-year","How many charging locations and total connectors did Tesla's Supercharger network have at the end of 2023, and how many new stations opened that year?"
